date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2016-06-09,egegik,15,15,9,1017,17,7,0,0,0,1041,
2016-06-10,egegik,9,9,0,0,0,0,0,0,0,0,
2016-06-11,egegik,0,0,0,0,0,0,0,0,0,0,
2016-06-12,egegik,0,0,0,0,0,0,0,0,0,0,
2016-06-13,egegik,15,15,46,75,9312,36,229,0,0,9577,
2016-06-14,egegik,24,24,36,67,10937,20,77,0,0,11034,
2016-06-15,egegik,9,9,11,12,1177,0,14,0,0,1191,
2016-06-16,egegik,15,15,97,107,25755,33,384,0,0,26172,
2016-06-17,egegik,9,9,17,10,1976,1,28,0,0,2005,
2016-06-18,egegik,0,0,0,0,0,0,0,0,0,0,
2016-06-19,egegik,0,0,0,0,0,0,0,0,0,0,
2016-06-20,egegik,8,8,158,128,44184,82,1602,0,0,45868,
2016-06-21,egegik,8,8,209,132,43288,28,1121,0,0,44437,
2016-06-22,egegik,0,0,0,0,0,0,0,0,0,0,
2016-06-23,egegik,8,8,274,174,106562,136,1644,0,0,108342,
2016-06-24,egegik,9,8,477,137,46317,73,941,0,0,47331,
2016-06-25,egegik,8,8,279,146,79865,83,828,0,0,80776,
2016-06-26,egegik,11,8,490,159,114582,29,1714,0,0,116325,
2016-06-27,egegik,9,6.75,554,177,141169,59,1544,0,0,142772,
2016-06-28,egegik,4,7.25,312,202,115552,29,1440,0,0,117021,
2016-06-29,egegik,2,2,170,49,24176,49,273,0,0,24498,
2016-06-30,egegik,10,8,639,163,230810,56,2566,0,0,233432,
2016-07-01,egegik,10,8,567,191,234095,45,2902,0,0,237042,
2016-07-02,egegik,12,8,505,251,327534,32,2814,0,0,330380,
2016-07-03,egegik,8,8,296,159,322003,48,2711,0,0,324762,
2016-07-04,egegik,9,8,408,176,386472,44,3278,0,0,389794,
2016-07-05,egegik,14,8,313,241,281573,17,4637,0,0,286227,
2016-07-06,egegik,8,8,279,219,395929,16,2627,0,276,398848,
2016-07-07,egegik,12,8,505,290,636512,17,3069,0,0,639598,
2016-07-08,egegik,8,8,313,223,378017,16,2093,0,0,380126,
2016-07-09,egegik,16,16,494,378,463001,15,2395,0,0,465411,
2016-07-10,egegik,11.5,7.5,513,310,513155,20,3129,0,270,516574,
2016-07-11,egegik,13.25,15.25,475,299,428746,25,2475,2,0,431248,
2016-07-12,egegik,15.25,15.25,455,283,326704,10,1857,0,0,328571,
2016-07-13,egegik,15.25,15.25,430,245,317287,8,1585,0,0,318880,
2016-07-14,egegik,15,15,416,167,355219,16,2231,0,0,357466,
2016-07-15,egegik,13,13,441,251,471487,17,4140,0,0,475644,
2016-07-16,egegik,24,24,345,157,310346,10,2087,0,0,312443,
2016-07-17,egegik,24,24,331,161,361382,7,2445,0,0,363834,
2016-07-18,egegik,24,24,120,153,159808,9,1314,0,0,161131,
2016-07-19,egegik,24,24,202,116,250833,5,2161,0,0,252999,
2016-07-20,egegik,24,24,139,119,165844,4,1380,0,0,167228,
2016-07-21,egegik,24,24,127,77,146939,5,1539,45,0,148528,
2016-07-22,egegik,24,24,78,84,118415,4,1120,48,0,119587,
2016-07-23,egegik,24,24,73,59,72752,6,719,0,0,73477,
2016-07-24,egegik,24,24,61,56,70170,2,1860,146,0,72178,
2016-07-25,egegik,24,24,62,50,46705,2,552,0,0,47259,
2016-07-26,egegik,24,24,49,44,36872,1,474,38,0,37385,
2016-07-27,egegik,24,24,36,43,47863,0,616,64,5,48543,
2016-07-28,egegik,24,24,44,35,36599,5,369,0,0,36973,
2016-07-29,egegik,24,24,19,18,16981,0,274,0,0,17255,
2016-07-30,egegik,24,24,22,17,23019,0,307,0,0,23326,
2016-07-31,egegik,24,24,18,14,11468,2,265,0,0,11735,
2016-08-01,egegik,24,24,13,8,10361,2,275,0,0,10638,
2016-08-02,egegik,24,24,16,15,8259,1,234,0,0,8494,
2016-08-03,egegik,24,24,10,0,5361,2,151,0,0,5514,
2016-08-04,egegik,24,24,7,0,4324,0,143,0,0,4467,
