date,districtKey,driftPermits,dualPermits,driftBoats,flags,notes
2016-06-01,naknek_kvichak,1,2,0,,
2016-06-01,egegik,5,0,5,,
2016-06-01,ugashik,0,0,0,,
2016-06-01,nushagak,1,0,1,,
2016-06-01,togiak,0,0,0,,
2016-06-02,naknek_kvichak,2,2,0,,
2016-06-02,egegik,5,0,5,,
2016-06-02,ugashik,0,0,0,,
2016-06-02,nushagak,2,0,2,,
2016-06-02,togiak,0,0,0,,
2016-06-03,naknek_kvichak,2,2,0,,
2016-06-03,egegik,7,0,7,,
2016-06-03,ugashik,0,0,0,,
2016-06-03,nushagak,2,0,2,,
2016-06-03,togiak,0,0,0,,
2016-06-04,naknek_kvichak,2,2,0,,
2016-06-04,egegik,8,0,8,,
2016-06-04,ugashik,1,0,1,,
2016-06-04,nushagak,2,0,2,,
2016-06-04,togiak,0,0,0,,
2016-06-05,naknek_kvichak,2,2,0,,
2016-06-05,egegik,8,0,8,,
2016-06-05,ugashik,1,0,1,,
2016-06-05,nushagak,2,0,2,,
2016-06-05,togiak,0,0,0,,
2016-06-06,naknek_kvichak,2,2,0,,
2016-06-06,egegik,8,0,8,,
2016-06-06,ugashik,1,0,1,,
2016-06-06,nushagak,2,0,2,,
2016-06-06,togiak,0,0,0,,
2016-06-07,naknek_kvichak,2,2,0,,
2016-06-07,egegik,15,4,11,,
2016-06-07,ugashik,1,0,1,,
2016-06-07,nushagak,5,0,5,,
2016-06-07,togiak,1,0,1,,
2016-06-08,naknek_kvichak,6,2,4,,
2016-06-08,egegik,18,4,14,,
2016-06-08,ugashik,1,0,1,,
2016-06-08,nushagak,5,0,5,,
2016-06-08,togiak,1,0,1,,
2016-06-09,naknek_kvichak,8,2,6,,
2016-06-09,egegik,24,4,20,,
2016-06-09,ugashik,4,0,4,,
2016-06-09,nushagak,10,0,10,,
2016-06-09,togiak,1,0,1,,
2016-06-10,naknek_kvichak,9,4,5,,
2016-06-10,egegik,26,4,22,,
2016-06-10,ugashik,4,0,4,,
2016-06-10,nushagak,11,0,11,,
2016-06-10,togiak,2,0,2,,
2016-06-11,naknek_kvichak,16,2,14,,
2016-06-11,egegik,40,10,30,,
2016-06-11,ugashik,10,0,10,,
2016-06-11,nushagak,12,0,12,,
2016-06-11,togiak,4,0,4,,
2016-06-12,naknek_kvichak,16,2,14,,
2016-06-12,egegik,37,8,29,,
2016-06-12,ugashik,10,0,10,,
2016-06-12,nushagak,12,0,12,,
2016-06-12,togiak,4,0,4,,
2016-06-13,naknek_kvichak,20,4,16,,
2016-06-13,egegik,43,12,31,,
2016-06-13,ugashik,19,6,13,,
2016-06-13,nushagak,12,0,12,,
2016-06-13,togiak,4,0,4,,
2016-06-14,naknek_kvichak,57,30,27,,
2016-06-14,egegik,108,72,36,,
2016-06-14,ugashik,34,32,2,,
2016-06-14,nushagak,19,2,17,,
2016-06-14,togiak,5,0,5,,
2016-06-15,naknek_kvichak,72,0,72,,
2016-06-15,egegik,116,0,116,,
2016-06-15,ugashik,45,0,45,,
2016-06-15,nushagak,26,0,26,,
2016-06-15,togiak,5,0,5,,
2016-06-16,naknek_kvichak,87,22,65,,
2016-06-16,egegik,139,54,85,,
2016-06-16,ugashik,53,28,25,,
2016-06-16,nushagak,34,2,32,,
2016-06-16,togiak,6,0,6,,
2016-06-17,naknek_kvichak,104,26,78,,
2016-06-17,egegik,164,62,102,,
2016-06-17,ugashik,52,26,26,,
2016-06-17,nushagak,43,4,39,,
2016-06-17,togiak,6,0,6,,
2016-06-18,naknek_kvichak,119,34,85,,
2016-06-18,egegik,156,54,102,,
2016-06-18,ugashik,49,24,25,,
2016-06-18,nushagak,86,26,60,,
2016-06-18,togiak,8,0,8,,
2016-06-19,naknek_kvichak,128,38,90,,
2016-06-19,egegik,159,58,101,,
2016-06-19,ugashik,53,26,27,,
2016-06-19,nushagak,175,74,101,,
2016-06-19,togiak,9,0,9,,
2016-06-20,naknek_kvichak,159,52,107,,
2016-06-20,egegik,189,78,111,,
2016-06-20,ugashik,59,26,33,,
2016-06-20,nushagak,291,134,157,,
2016-06-20,togiak,9,0,9,,
2016-06-21,naknek_kvichak,231,78,153,,
2016-06-21,egegik,258,102,156,,
2016-06-21,ugashik,95,46,49,,
2016-06-21,nushagak,335,154,181,,
2016-06-21,togiak,12,0,12,,
2016-06-22,naknek_kvichak,248,78,170,,
2016-06-22,egegik,305,128,177,,
2016-06-22,ugashik,142,72,70,,
2016-06-22,nushagak,404,186,218,,
2016-06-22,togiak,15,0,15,,
2016-06-23,naknek_kvichak,254,82,172,,
2016-06-23,egegik,309,128,181,,
2016-06-23,ugashik,156,76,80,,
2016-06-23,nushagak,452,206,246,,
2016-06-23,togiak,16,0,16,,
2016-06-24,naknek_kvichak,275,86,189,,
2016-06-24,egegik,357,148,209,,
2016-06-24,ugashik,167,80,87,,
2016-06-24,nushagak,474,216,258,,
2016-06-24,togiak,24,0,24,,
2016-06-25,naknek_kvichak,287,92,195,,
2016-06-25,egegik,370,162,208,,
2016-06-25,ugashik,197,94,103,,
2016-06-25,nushagak,492,228,264,,
2016-06-25,togiak,26,0,26,,
2016-06-26,naknek_kvichak,297,94,203,,
2016-06-26,egegik,379,168,211,,
2016-06-26,ugashik,202,96,106,,
2016-06-26,nushagak,490,228,262,,
2016-06-26,togiak,28,0,28,,
2016-06-27,naknek_kvichak,308,94,214,,
2016-06-27,egegik,390,172,218,,
2016-06-27,ugashik,205,96,109,,
2016-06-27,nushagak,506,240,266,,
2016-06-27,togiak,28,0,28,,
2016-06-28,naknek_kvichak,312,96,216,,
2016-06-28,egegik,399,178,221,,
2016-06-28,ugashik,231,106,125,,
2016-06-28,nushagak,518,244,274,,
2016-06-28,togiak,30,0,30,,
2016-06-29,naknek_kvichak,318,102,216,,
2016-06-29,egegik,401,176,225,,
2016-06-29,ugashik,238,110,128,,
2016-06-29,nushagak,508,238,270,,
2016-06-29,togiak,34,0,34,,
2016-06-30,naknek_kvichak,327,108,219,,
2016-06-30,egegik,403,178,225,,
2016-06-30,ugashik,242,114,128,,
2016-06-30,nushagak,515,244,271,,
2016-06-30,togiak,34,0,34,,
2016-07-01,naknek_kvichak,384,136,248,,
2016-07-01,egegik,401,176,225,,
2016-07-01,ugashik,245,116,129,,
2016-07-01,nushagak,510,242,268,,
2016-07-01,togiak,34,0,34,,
2016-07-02,naknek_kvichak,467,160,307,,
2016-07-02,egegik,388,168,220,,
2016-07-02,ugashik,252,120,132,,
2016-07-02,nushagak,462,210,252,,
2016-07-02,togiak,35,0,35,,
2016-07-03,naknek_kvichak,483,168,315,,
2016-07-03,egegik,383,166,217,,
2016-07-03,ugashik,251,118,133,,
2016-07-03,nushagak,429,204,225,,
2016-07-03,togiak,38,0,38,,
2016-07-04,naknek_kvichak,550,212,338,,
2016-07-04,egegik,368,158,210,,
2016-07-04,ugashik,245,114,131,,
2016-07-04,nushagak,409,196,213,,
2016-07-04,togiak,39,0,39,,
2016-07-05,naknek_kvichak,581,220,361,,
2016-07-05,egegik,355,146,209,,
2016-07-05,ugashik,259,118,141,,
2016-07-05,nushagak,406,194,212,,
2016-07-05,togiak,42,0,42,,
2016-07-06,naknek_kvichak,619,238,381,,
2016-07-06,egegik,356,144,212,,
2016-07-06,ugashik,263,118,145,,
2016-07-06,nushagak,396,186,210,,
2016-07-06,togiak,42,0,42,,
2016-07-07,naknek_kvichak,625,246,379,,
2016-07-07,egegik,357,146,211,,
2016-07-07,ugashik,264,118,146,,
2016-07-07,nushagak,390,182,208,,
2016-07-07,togiak,43,0,43,,
2016-07-08,naknek_kvichak,625,246,379,,
2016-07-08,egegik,357,146,211,,
2016-07-08,ugashik,262,116,146,,
2016-07-08,nushagak,385,178,207,,
2016-07-08,togiak,43,0,43,,
2016-07-09,naknek_kvichak,622,246,376,,
2016-07-09,egegik,366,150,216,,
2016-07-09,ugashik,267,118,149,,
2016-07-09,nushagak,368,166,202,,
2016-07-09,togiak,43,0,43,,
2016-07-10,naknek_kvichak,627,248,379,,
2016-07-10,egegik,353,148,205,,
2016-07-10,ugashik,278,126,152,,
2016-07-10,nushagak,341,154,187,,
2016-07-10,togiak,43,0,43,,
2016-07-11,naknek_kvichak,646,262,384,,
2016-07-11,egegik,352,148,204,,
2016-07-11,ugashik,281,126,155,,
2016-07-11,nushagak,341,154,187,,
2016-07-11,togiak,43,0,43,,
2016-07-12,naknek_kvichak,675,272,403,,
2016-07-12,egegik,336,142,194,,
2016-07-12,ugashik,297,134,163,,
2016-07-12,nushagak,329,152,177,,
2016-07-12,togiak,43,0,43,,
2016-07-13,naknek_kvichak,681,272,409,,
2016-07-13,egegik,302,124,178,,
2016-07-13,ugashik,295,132,163,,
2016-07-13,nushagak,306,138,168,,
2016-07-13,togiak,43,0,43,,
2016-07-14,naknek_kvichak,708,280,428,,
2016-07-14,egegik,290,118,172,,
2016-07-14,ugashik,291,132,159,,
2016-07-14,nushagak,301,134,167,,
2016-07-14,togiak,43,0,43,,
2016-07-15,naknek_kvichak,767,312,455,,
2016-07-15,egegik,290,118,172,,
2016-07-15,ugashik,292,134,158,,
2016-07-15,nushagak,300,134,166,,
2016-07-15,togiak,43,0,43,,
2016-07-16,naknek_kvichak,790,324,466,,
2016-07-16,egegik,281,112,169,,
2016-07-16,ugashik,292,134,158,,
2016-07-16,nushagak,289,130,159,,
2016-07-16,togiak,43,0,43,,

