date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,flags,notes
2019-06-17,togiak,24,24,0,4,66,3,1,0,0,70,,
2019-06-18,togiak,24,24,4,7,240,20,39,1,0,300,,
2019-06-19,togiak,24,24,2,9,373,33,42,0,0,448,,
2019-06-20,togiak,24,24,0,7,223,22,9,0,0,254,,
2019-06-21,togiak,24,24,1,4,175,33,61,0,0,269,,
2019-06-22,togiak,0,0,0,1,0,0,0,0,0,0,,
2019-06-24,togiak,24,24,15,47,5373,139,285,10,0,5807,,
2019-06-25,togiak,24,24,16,73,6741,175,666,21,0,7603,,
2019-06-26,togiak,24,24,10,57,5876,154,917,48,0,6995,,
2019-06-27,togiak,24,24,6,24,1837,87,382,4,0,2310,,
2019-06-28,togiak,24,24,5,4,1480,25,804,21,0,2330,,
2019-06-29,togiak,0,0,2,2,0,0,0,0,0,0,,
2019-07-01,togiak,24,24,28,72,10289,197,1915,48,0,12449,,
2019-07-02,togiak,24,24,52,129,23236,311,5299,96,0,28942,,
2019-07-03,togiak,24,24,53,120,25149,251,4560,106,0,30066,,
2019-07-04,togiak,24,24,48,113,19890,273,3203,66,0,23432,,
2019-07-05,togiak,24,24,55,127,22253,171,4104,145,0,26673,,
2019-07-06,togiak,24,24,50,105,23345,137,3675,186,0,27343,,
2019-07-07,togiak,24,24,2,7,2317,3,199,0,0,2519,,
2019-07-08,togiak,24,24,44,134,29264,180,5737,296,0,35477,,
2019-07-09,togiak,24,24,79,161,36855,207,10268,627,0,47957,,
2019-07-10,togiak,24,24,71,163,32619,183,9969,335,0,43106,,
2019-07-11,togiak,24,24,12,82,10811,62,4487,64,0,15424,,
2019-07-12,togiak,24,24,11,84,17495,76,3231,58,0,20860,,
2019-07-13,togiak,24,24,3,2,1111,0,130,2,0,1243,,
2019-07-14,togiak,24,24,51,118,29491,66,5897,70,0,35524,,
2019-07-15,togiak,24,24,69,143,31879,82,8861,127,1,40950,,
2019-07-16,togiak,24,24,75,152,38234,80,9528,118,0,47960,,
2019-07-17,togiak,24,24,73,144,35164,90,9378,142,0,44774,,
2019-07-18,togiak,24,24,38,152,33487,41,6018,59,0,39605,,
2019-07-19,togiak,24,24,42,140,40680,65,8069,77,0,48891,,
2019-07-20,togiak,24,24,52,135,56758,48,9754,52,0,66612,,
2019-07-21,togiak,24,24,8,39,14675,4,1939,3,0,16621,,
2019-07-22,togiak,24,24,52,177,51392,22,9986,52,0,61452,,
2019-07-23,togiak,24,24,90,160,45558,39,11585,56,1,57239,,
2019-07-24,togiak,24,24,49,154,29739,35,7788,275,0,37837,,
2019-07-25,togiak,24,24,18,100,16321,19,3959,40,1,20340,,
2019-07-26,togiak,24,24,57,147,41429,28,8161,58,4,49680,,
2019-07-27,togiak,24,24,60,141,35600,11,10016,68,3,45698,,
2019-07-28,togiak,24,24,16,39,11113,14,2453,14,1,13595,,
2019-07-29,togiak,24,24,50,123,38745,23,5106,35,4,43913,,
2019-07-30,togiak,24,24,71,129,34660,17,7631,84,12,42404,,
2019-07-31,togiak,24,24,72,137,28731,36,8532,43,44,37386,,
2019-08-01,togiak,24,24,45,144,25145,19,7569,73,45,32851,,
2019-08-02,togiak,24,24,37,74,14650,14,5128,24,63,19879,,
2019-08-03,togiak,24,24,14,43,9286,4,2375,18,168,11851,,
2019-08-04,togiak,24,24,1,8,1605,0,298,0,6,1909,,
2019-08-05,togiak,24,24,29,47,7704,7,2769,19,249,10748,,
2019-08-06,togiak,24,24,36,85,8613,13,3097,59,340,12122,,
2019-08-07,togiak,24,24,38,61,11043,7,2978,32,565,14625,,
2019-08-08,togiak,24,24,16,57,5847,7,1064,24,239,7181,,
2019-08-09,togiak,24,24,18,37,7107,4,1611,12,736,9470,,
2019-08-10,togiak,24,24,9,40,6244,9,1035,25,705,8018,,
2019-08-11,togiak,24,24,4,15,2541,1,394,3,227,3166,,
2019-08-12,togiak,24,24,3,27,1758,3,364,16,776,2917,,
2019-08-13,togiak,24,24,21,50,7066,4,1224,11,3191,11496,,
2019-08-14,togiak,24,24,4,48,3450,4,572,19,767,4812,,
2019-08-15,togiak,24,24,22,43,5691,2,800,3,2077,8573,,
2019-08-16,togiak,24,24,4,19,1374,1,218,1,292,1886,,
2019-08-17,togiak,24,24,4,0,263,0,109,0,484,856,,
2019-06-22,togiak,0,0,0,1,0,0,0,0,0,0,,
2019-08-19,togiak,24,24,0,20,849,0,149,2,645,1645,,
2019-08-20,togiak,24,24,17,28,1749,0,212,8,3083,5052,,
2019-08-21,togiak,24,24,13,32,1810,1,308,2,3760,5881,,
2019-08-22,togiak,24,24,10,26,1157,2,211,3,2284,3657,,
2019-08-23,togiak,24,24,1,12,505,0,54,0,872,1431,,
2019-08-24,togiak,24,24,1,0,36,0,0,0,0,36,,
2019-08-26,togiak,24,24,1,9,119,0,33,7,763,922,,
2019-08-27,togiak,24,24,8,17,773,1,81,1,2600,3456,,
2019-08-28,togiak,24,24,6,16,461,0,46,0,1475,1982,,
2019-08-29,togiak,24,24,3,11,507,0,37,0,837,1381,,
2019-06-29,togiak,0,0,2,2,0,0,0,0,0,0,,
2019-08-30,togiak,24,24,2,3,165,0,7,0,294,466,,
