date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2019-06-17,ugashik,0,12,4,133,39,0,0,0,0,172,
2019-06-23,ugashik,8,8,11,33,4080,199,9,0,0,4288,
2019-06-26,ugashik,12,12,19,47,14208,288,67,0,0,14563,
2019-06-27,ugashik,12,12,27,70,27312,383,51,0,0,27746,
2019-06-28,ugashik,12,12,49,63,52037,440,1343,0,0,53820,
2019-06-30,ugashik,12,12,49,63,52037,440,1343,0,0,53820,
2019-07-02,ugashik,8,8,37,60,25630,300,193,0,0,26123,
2019-07-05,ugashik,5,8,39,77,64575,201,302,0,0,65078,
2019-07-08,ugashik,5.5,8,44,121,148599,84,728,3,0,149414,
2019-07-19,ugashik,12,12,70,119,154327,8,2651,0,0,156986,
2019-07-20,ugashik,11.5,11.5,72,100,133489,7,2674,22,58,136250,
2019-07-21,ugashik,11.5,11.5,105,103,116402,11,2957,18,78,119466,
2019-07-22,ugashik,17,17,394,101,150829,13,2796,41,37,153716,
2019-07-23,ugashik,24,24,88,78,38519,8,1863,7,11,40408,
2019-07-24,ugashik,24,24,103,62,37325,13,1226,35,55,38654,
2019-07-25,ugashik,24,24,63,50,19957,5,405,0,20,20387,
2019-07-26,ugashik,24,24,23,34,11743,4,1036,0,0,12783,
2019-07-27,ugashik,8,26,8,26,6910,4,104,0,0,7018,
2019-07-28,ugashik,24,24,13,21,9627,7,413,11,17,10075,
2019-07-29,ugashik,24,24,6,15,6849,2,63,0,0,6914,
2019-07-30,ugashik,24,24,6,21,5459,3,85,0,0,5547,
2019-07-31,ugashik,9,9,5,18,2565,0,203,2,25,2795,
2019-08-01,ugashik,24,24,3,16,2786,2,606,18,99,3511,
2019-08-02,ugashik,24,24,3,17,2711,4,382,22,98,3217,
2019-08-03,ugashik,24,24,1,10,855,0,81,4,49,989,
