Table 10.
–Daily district registration of drift gillnet permit holders and dual vessel registration, by
district, Bristol Bay, 2021.
Naknek-Kvichak Egegik Ugashik Nushagak Togiaka
Date Total Dual Total Dual Total Dual Total Dual Total Totalb
6/1 0 0 6 0 0 0 1 0 0 7
6/2 3 0 12 0 1 0 1 0 1 18
6/3 3 0 12 0 1 0 1 0 1 18
6/4 3 0 13 0 1 0 1 0 1 20
6/5 3 0 17 1 1 0 2 0 2 25
6/6 3 0 17 1 1 0 2 0 2 25
6/7 3 0 17 1 1 0 2 0 2 26
6/8 3 0 17 1 1 0 2 0 3 26
6/9 3 0 20 2 1 0 4 0 3 31
6/10 3 0 39 2 1 0 4 0 3 50
6/11 5 0 41 2 1 0 5 0 3 57
6/12 5 0 44 2 3 1 7 0 5 64
6/13 8 1 47 2 5 2 7 0 5 73
6/14 8 1 54 4 7 3 7 0 6 82
6/15 12 1 76 9 12 5 13 2 6 119
6/16 19 1 99 15 14 6 15 2 6 156
6/17 21 1 129 23 14 6 25 4 9 200
6/18 32 2 171 33 15 6 43 7 11 276
6/19 35 2 193 39 11 4 60 10 15 315
6/20 43 3 304 76 13 5 71 12 16 447
6/21 53 6 316 79 17 7 79 12 16 482
6/22 65 7 343 85 37 14 110 17 17 574
6/23 67 5 347 87 34 13 208 38 19 676
6/24 68 5 366 92 34 12 308 60 20 802
6/25 74 6 383 92 42 15 745 200 26 1,270
6/26 94 7 396 93 50 19 815 222 26 1,381
6/27 163 17 415 96 59 20 860 232 26 1,523
6/28 201 26 411 96 76 23 839 225 26 1,554
6/29 214 26 410 96 80 24 800 215 27 1,531
6/30 263 36 422 101 93 27 757 197 27 1,562
7/01 303 45 441 106 105 32 742 188 27 1,618
7/02 335 53 429 102 131 43 746 186 27 1,670
7/03 358 62 421 102 128 42 741 184 29 1,678
7/04 375 67 398 95 131 43 734 181 30 1,668
7/05 383 70 388 92 136 44 739 180 30 1,677
7/06 395 74 384 91 150 49 736 180 31 1,696
7/07 411 80 370 88 150 49 723 176 31 1,685
7/08 420 81 345 83 150 48 736 179 31 1,683
7/09 452 90 335 81 154 48 673 160 32 1,647
7/10 464 92 312 73 156 48 644 150 33 1,609
7/11 516 108 285 66 178 54 451 100 33 1,463
7/12 542 114 293 69 205 64 395 92 33 1,470
7/13 657 139 293 70 273 81 381 87 35 1,639
7/14 692 144 295 73 305 90 364 82 35 1,691
7/15 670 141 312 77 334 98 344 75 35 1,695
7/16 671 140 317 78 351 102 337 73 35 1,702
Averagec 292 53 333 79 117 37 491 66 26 1,259
