date,districtKey,nushagakHoursRaw,igushikHoursRaw,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,flags,notes
2022-06-23,nushagak,"4/6.5","4/12",4,12,651,370,852705,436,15610,0,0,868751,nushagak_hours_slash_format,
2022-06-24,nushagak,"6.5/8","6.5/4.5",6.5,8,1085,381,478286,647,10802,0,0,489735,nushagak_hours_slash_format,
2022-06-25,nushagak,"3.5/6","3.5/24",3.5,24,216,217,197440,166,2258,1,0,199865,nushagak_hours_slash_format,
2022-06-26,nushagak,"14.5/24","14.5/24",14.5,24,1362,402,1651959,251,11094,0,0,1663304,nushagak_hours_slash_format,
2022-06-27,nushagak,"6/24","6/24",6,24,578,563,611439,209,4186,3,0,615837,nushagak_hours_slash_format,
2022-06-28,nushagak,"13.5/24","13.5/24",13.5,24,848,431,356766,173,3990,3,0,360932,nushagak_hours_slash_format,
2022-06-29,nushagak,"12/24","12/24",12,24,1059,395,779123,286,5747,8,0,785164,nushagak_hours_slash_format,
2022-06-30,nushagak,"20.5/24","20.5/24",20.5,24,1414,544,3115651,242,16619,2,0,3132514,nushagak_hours_slash_format,
2022-07-01,nushagak,"24/24","24/24",24,24,973,386,1534426,190,9539,5,0,1544160,nushagak_hours_slash_format,
2022-07-02,nushagak,"19.5/24","19.5/24",19.5,24,538,432,414298,178,3054,7,0,417537,nushagak_hours_slash_format,
2022-07-03,nushagak,"19.5/24","19.5/24",19.5,24,961,478,1264644,192,6162,15,0,1271013,nushagak_hours_slash_format,
2022-07-04,nushagak,"14.5/24","14.5/24",14.5,24,1149,716,1709253,155,9059,6,0,1718473,nushagak_hours_slash_format,
2022-07-05,nushagak,"13.5/24","13.5/24",13.5,24,1213,596,1434292,156,9320,20,0,1443788,nushagak_hours_slash_format,
2022-07-06,nushagak,"12.5/24","12.5/24",12.5,24,1053,551,1054864,131,6080,10,0,1061085,nushagak_hours_slash_format,
2022-07-07,nushagak,"13.5/24","13.5/24",13.5,24,963,544,1013386,113,6374,18,0,1019891,nushagak_hours_slash_format,
2022-07-08,nushagak,"19.5/24","19.5/24",19.5,24,960,481,1386935,76,8669,12,0,1395692,nushagak_hours_slash_format,
2022-07-09,nushagak,"15.5/24","15.5/24",15.5,24,615,436,670344,88,4443,9,1,674885,nushagak_hours_slash_format,
2022-07-10,nushagak,"15.5/24","15.5/24",15.5,24,720,512,717126,64,4135,8,0,721333,nushagak_hours_slash_format,
2022-07-11,nushagak,"14.5/20","14.5/24",14.5,24,719,477,798985,73,5952,47,627,805684,nushagak_hours_slash_format,
2022-07-12,nushagak,"14.5/24","14.5/24",14.5,24,401,584,574551,33,4925,75,287,579871,nushagak_hours_slash_format,
2022-07-13,nushagak,"19/24","19/24",19,24,539,514,526578,79,4882,230,3,531772,nushagak_hours_slash_format,
2022-07-14,nushagak,"24/24","24/24",24,24,380,379,468805,54,4454,314,3,473630,nushagak_hours_slash_format,
2022-07-15,nushagak,"24/24","24/24",24,24,396,414,336733,42,4947,203,4,341929,nushagak_hours_slash_format,
2022-07-16,nushagak,"24/24","24/24",24,24,196,431,227259,38,2602,256,11,230166,nushagak_hours_slash_format,
2022-07-17,nushagak,"24/24","24/24",24,24,107,92,79997,7,919,112,8,81043,nushagak_hours_slash_format,
2022-07-18,nushagak,"24/24","24/24",24,24,62,140,91566,8,1268,286,8,93136,nushagak_hours_slash_format,
2022-07-19,nushagak,"24/24","24/24",24,24,103,188,120562,17,2378,1030,22,124009,nushagak_hours_slash_format,
2022-07-20,nushagak,"24/24","24/24",24,24,27,92,32570,0,526,347,9,33452,nushagak_hours_slash_format,
2022-07-21,nushagak,"24/24","24/24",24,24,63,76,36805,5,571,821,34,38236,nushagak_hours_slash_format,
2022-07-22,nushagak,"24/24","24/24",24,24,49,87,35296,5,516,2043,127,37987,nushagak_hours_slash_format,
2022-07-23,nushagak,"24/24","24/24",24,24,15,51,13481,3,428,3112,191,17215,nushagak_hours_slash_format,
2022-07-24,nushagak,"24/24","24/24",24,24,2,24,5103,0,75,1839,246,7263,nushagak_hours_slash_format,
