Table 19.
–Commercial salmon catch by date and species, in numbers of fish, Togiak District,
Bristol Bay, 2022.
Deliveries
Date Drift Set Sockeye Chinook Chum Pink Coho Total
6/20 2 9 169 19 25 0 0 213
6/21 3 12 154 25 58 0 0 237
6/22 3 18 438 37 73 0 0 548
6/23 3 9 535 38 278 2 0 853
6/24 2 9 1,105 34 375 3 0 1,517
6/27 11 17 1,267 44 214 4 0 1,529
6/28 26 49 3,302 101 856 4 0 4,263
6/29 14 47 3,801 126 911 12 0 4,850
6/30 10 12 1,499 27 290 1 0 1,817
7/1 11 14 3,740 28 143 2 0 3,913
7/2 19 19 5,440 37 460 9 0 5,946
7/4 31 83 8,428 57 1,731 17 0 10,233
7/5 47 130 16,864 149 2,429 25 0 19,467
7/6 37 117 14,710 83 2,380 38 0 17,211
7/7 49 97 11,677 62 2,223 41 0 14,003
7/8 39 93 12,826 72 2,297 43 0 15,238
7/9 24 86 9,717 39 995 23 0 10,774
7/10 23 77 11,904 57 1,572 43 0 13,576
7/11 33 96 11,509 40 2,581 98 0 14,228
7/12 38 121 18,763 37 3,142 87 2 22,031
7/13 50 127 23,607 35 2,442 125 0 26,209
7/14 34 114 13,004 28 2,038 79 0 15,149
7/15 40 135 19,209 18 1,936 128 0 21,291
7/16 39 106 18,823 22 2,678 116 1 21,640
7/18 36 51 9,321 7 1,055 39 2 10,424
7/19 57 111 29,356 19 2,087 166 0 31,628
7/20 15 37 12,006 1 320 25 0 12,352
7/21 47 107 26,757 17 2,166 457 1 29,398
7/22 28 61 14,739 6 1,445 352 2 16,544
7/23 5 1 2,719 0 266 73 0 3,058
7/25 11 21 8,772 1 337 73 0 9,183
7/26 41 89 19,136 6 1,442 1,516 1 22,101
7/27 113 183 53,219 5 2,706 8,670 20 64,620
7/28 57 110 26,899 7 1,924 3,157 4 31,991
7/29 67 101 28,603 4 1,501 2,780 16 32,904
7/30 35 95 16,837 2 1,074 3,772 1 21,686
7/31 15 37 6,953 2 254 1,429 0 8,638
-continued-
48
Table 19.–Page 2 of 2.
Deliveries
Date Drift Set Sockeye Chinook Chum Pink Coho Total
8/1 42 73 10,700 2 702 4,610 1 16,015
8/2 39 120 19,274 1 716 6,105 5 26,101
8/3 56 121 22,693 5 843 8,064 10 31,615
8/4 23 78 15,327 0 304 2,922 15 18,568
8/5 31 35 10,513 0 272 4,334 12 15,131
8/6 5 25 3,931 0 100 1,151 13 5,195
8/7 0 5 416 1 12 139 0 568
8/8 14 13 2,930 0 148 1,087 21 4,186
8/9 18 46 7,313 2 282 1,988 68 9,653
8/10 16 50 6,862 2 253 2,303 109 9,529
8/11 14 45 5,572 0 133 1,480 147 7,332
8/12 14 39 4,450 1 133 1,268 91 5,943
8/13 5 28 2,405 0 93 614 68 3,180
8/14 1 8 664 0 17 74 25 780
8/15 4 12 638 0 17 238 41 934
8/16 5 28 1,099 0 11 147 133 1,390
8/17 4 28 1,233 0 18 152 135 1,538
8/18 3 19 880 1 11 116 147 1,155
8/19 a 0 3
Total 1,409 3,377 584,812 1,307 52,770 60,205 1,100 700,194
