date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2023-06-19,togiak,24,24,1,5,290,0,118,0,0,408,
2023-06-20,togiak,24,24,2,11,479,3,101,0,0,583,
2023-06-21,togiak,24,24,3,15,917,13,201,0,0,1131,
2023-06-22,togiak,24,24,3,14,457,16,361,0,0,834,
2023-06-23,togiak,24,24,1,7,231,10,229,0,0,470,
2023-06-26,togiak,24,24,4,16,1109,17,196,0,0,1322,
2023-06-27,togiak,24,24,6,35,2824,49,370,0,0,3243,
2023-06-28,togiak,24,24,1,22,1198,34,101,0,0,1333,
2023-06-29,togiak,24,24,2,3,407,2,736,0,0,1145,
2023-06-30,togiak,24,24,12,36,3759,24,1558,6,0,5347,
2023-07-01,togiak,24,24,10,44,4682,42,502,19,0,5245,
2023-07-03,togiak,24,24,17,51,5162,43,674,22,0,5901,
2023-07-04,togiak,24,24,19,51,5155,32,735,29,0,5951,
2023-07-05,togiak,24,24,15,51,5056,32,769,45,0,5902,
2023-07-06,togiak,24,24,22,72,7418,11,1081,70,0,8580,
2023-07-07,togiak,24,24,20,98,8652,25,2054,64,0,10795,
2023-07-08,togiak,24,24,9,45,6032,14,563,30,0,6639,
2023-07-10,togiak,24,24,26,71,10447,16,1151,64,0,11678,
2023-07-11,togiak,24,24,41,111,13496,26,2817,208,0,16547,
2023-07-12,togiak,24,24,32,103,11387,23,3243,137,0,14790,
2023-07-13,togiak,24,24,28,96,11943,19,3290,120,0,15372,
2023-07-14,togiak,24,24,33,98,19401,18,3561,136,0,23116,
2023-07-15,togiak,24,24,19,106,16092,16,1803,76,0,17987,
2023-07-16,togiak,24,24,8,85,12976,7,892,80,0,13955,
2023-07-17,togiak,24,24,36,99,21469,12,1738,82,0,23301,
2023-07-18,togiak,24,24,44,104,25717,17,2316,99,0,28149,
2023-07-19,togiak,24,24,42,94,22491,24,2727,73,0,25315,
2023-07-20,togiak,24,24,27,84,10748,8,1527,35,0,12318,
2023-07-21,togiak,24,24,33,107,18508,12,2588,83,1,21192,
2023-07-22,togiak,24,24,23,94,16898,4,1090,91,0,18083,
2023-07-23,togiak,24,24,3,24,2620,0,158,13,0,2791,
2023-07-24,togiak,24,24,31,87,16138,8,1661,78,0,17885,
2023-07-25,togiak,24,24,44,109,18947,3,1957,124,1,21032,
2023-07-26,togiak,24,24,32,91,13567,3,2018,62,0,15650,
2023-07-27,togiak,24,24,16,59,8943,4,899,45,0,9891,
2023-07-28,togiak,24,24,25,113,14783,5,1840,73,1,16702,
2023-07-29,togiak,24,24,14,33,8020,0,652,11,2,8685,
2023-07-30,togiak,24,24,9,25,4323,0,207,10,0,4540,
2023-07-31,togiak,24,24,23,70,15685,1,542,33,3,16264,
2023-08-01,togiak,24,24,51,93,19417,6,1383,55,21,20882,
2023-08-02,togiak,24,24,20,92,12124,1,527,29,4,12685,
2023-08-03,togiak,24,24,18,95,8833,2,560,27,7,9429,
2023-08-04,togiak,24,24,22,42,9172,0,469,12,28,9681,
2023-08-05,togiak,24,24,3,5,1307,0,19,0,0,1326,
2023-08-06,togiak,24,24,0,3,79,0,0,0,0,79,
2023-08-07,togiak,24,24,17,44,4575,1,246,16,44,4882,
2023-08-08,togiak,24,24,18,62,5584,0,249,12,26,5871,
2023-08-09,togiak,24,24,19,51,6193,0,186,15,57,6451,
2023-08-10,togiak,24,24,3,43,2741,2,111,1,39,2894,
2023-08-11,togiak,24,24,0,28,2081,0,46,3,19,2149,
2023-08-12,togiak,24,24,3,26,2223,0,44,1,45,2313,
2023-08-13,togiak,24,24,0,6,243,0,3,0,4,250,
2023-08-14,togiak,24,24,2,9,425,0,9,1,35,470,
2023-08-15,togiak,24,24,1,14,422,0,15,0,70,507,
