date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2024-06-18,naknek_kvichak,24,24,1,4,239,2,6,0,0,247,
2024-06-19,naknek_kvichak,24,24,6,11,926,9,12,0,0,947,
2024-06-20,naknek_kvichak,24,24,13,11,548,2,16,0,0,566,
2024-06-21,naknek_kvichak,9,9,1,4,0,0,0,0,0,0,
2024-06-22,naknek_kvichak,0,0,0,0,0,0,0,0,0,0,
2024-06-23,naknek_kvichak,0,0,0,0,0,0,0,0,0,0,
2024-06-24,naknek_kvichak,0,0,0,0,0,0,0,0,0,0,
2024-06-25,naknek_kvichak,7,7,125,70,22816,75,364,0,0,23255,
2024-06-26,naknek_kvichak,0,0,0,0,0,0,0,0,0,0,
2024-06-27,naknek_kvichak,7,7,208,104,47773,24,487,0,0,48284,
2024-06-28,naknek_kvichak,6,6,220,141,48357,42,453,0,0,48852,
2024-06-29,naknek_kvichak,1.5,1.5,5,6,1683,2,12,0,0,1697,
2024-06-30,naknek_kvichak,8.5,8.5,185,71,86656,3,531,0,0,87190,
2024-07-01,naknek_kvichak,8.5,8.5,278,111,129884,15,860,0,0,130759,
2024-07-02,naknek_kvichak,8.5,8.5,286,237,113081,37,1016,0,0,114134,
2024-07-03,naknek_kvichak,8,8,321,340,389872,68,1479,0,0,391419,
2024-07-04,naknek_kvichak,7.5,14,344,430,436720,46,1071,0,0,437837,
2024-07-05,naknek_kvichak,16,24,532,470,697525,47,2043,0,0,699615,
2024-07-06,naknek_kvichak,15,24,486,396,552454,39,2412,0,0,554905,
2024-07-07,naknek_kvichak,15,24,556,426,322683,32,1038,0,0,323753,
2024-07-08,naknek_kvichak,14,24,555,311,140467,26,866,0,0,141359,
2024-07-09,naknek_kvichak,13.5,24,848,257,548478,24,2326,0,0,550828,
2024-07-10,naknek_kvichak,15,24,999,479,1157279,46,4260,0,0,1161585,
2024-07-11,naknek_kvichak,14,24,743,361,331317,23,1283,0,0,332623,
2024-07-12,naknek_kvichak,13,24,847,422,1194648,41,3899,0,0,1198588,
2024-07-13,naknek_kvichak,8.5,24,577,226,366519,17,1201,0,0,367737,
2024-07-14,naknek_kvichak,0,0,0,0,0,0,0,0,0,0,
2024-07-15,naknek_kvichak,0,15,0,140,34912,1,59,0,0,34972,
2024-07-16,naknek_kvichak,9,22.5,1049,377,867571,14,8098,0,0,875683,
2024-07-17,naknek_kvichak,22,24,842,325,434153,20,4551,0,0,438724,
2024-07-18,naknek_kvichak,24,24,781,246,335485,12,4050,0,0,339547,
2024-07-19,naknek_kvichak,24,24,442,132,145713,11,2302,0,0,148026,
2024-07-20,naknek_kvichak,24,24,588,158,272037,11,5751,0,0,277799,
2024-07-21,naknek_kvichak,9,9,109,39,77702,1,1547,0,0,79250,
2024-07-22,naknek_kvichak,15,15,408,154,260033,17,8060,2,0,268112,
2024-07-23,naknek_kvichak,24,24,284,173,135128,16,4281,0,0,139425,
2024-07-24,naknek_kvichak,24,24,223,116,50119,9,2023,33,0,52184,
2024-07-25,naknek_kvichak,24,24,175,87,26618,3,1440,65,6,28132,
2024-07-26,naknek_kvichak,24,24,48,45,8607,1,335,85,15,9043,
2024-07-27,naknek_kvichak,24,24,29,25,3736,0,105,47,2,3890,
2024-07-28,naknek_kvichak,9,9,3,6,345,1,0,0,0,346,
2024-07-29,naknek_kvichak,15,15,3,0,0,0,0,0,0,0,
2024-07-30,naknek_kvichak,24,24,15,24,2762,0,179,310,17,3268,
2024-07-31,naknek_kvichak,24,24,3,8,1561,0,31,96,9,1697,
2024-08-01,naknek_kvichak,24,24,4,12,1654,0,165,959,115,2893,
2024-08-02,naknek_kvichak,24,24,7,14,1683,0,123,1086,199,3091,
