year,naknek_kvichak_drift,naknek_kvichak_setnet_sec,naknek_kvichak_nrsha_drift,naknek_kvichak_nrsha_set,egegik_drift,egegik_set,ugashik_drift,ugashik_set,nushagak_drift,nushagak_setnet_sec,nushagak_wrsha_drift,nushagak_wrsha_set,togiak_drift,togiak_set,total_drift,total_set
2010,81,10,9,ND,ND,84,16,90,10,78,17,6,71,29,61,39
2011,84,10,7,ND,ND,83,17,87,13,76,16,7,ND,ND,60,40
2012,85,7,8,ND,ND,83,17,90,10,67,27,6,45,55,67,33
2013,84,9,7,ND,ND,85,15,90,10,78,17,5,ND,ND,65,35
2014,83,9,8,ND,ND,89,11,82,18,73,16,7,ND,ND,58,42
2015,84,8,8,ND,ND,81,19,91,9,69,22,9,ND,ND,50,50
2016,83,8,9,ND,ND,82,18,91,9,67,22,11,ND,ND,56,44
2017,70,17,13,ND,ND,87,13,92,8,76,18,4,ND,ND,56,44
2018,71,17,12,84,16,80,20,78,22,82,13,2,ND,100,51,49
2019,77,14,9,ND,ND,81,19,66,34,78,18,3,ND,100,49,51
2020,80,12,8,ND,ND,86,14,74,26,69,26,3,100,ND,47,53
2021,75,13,12,ND,ND,84,16,87,13,84,13,3,ND,100,44,56
2022,75,14,11,ND,ND,79,21,89,11,82,13,2,ND,100,51,49
2023,81,10,9,ND,ND,81,19,81,19,77,17,3,ND,100,38,62
2024,80,7,13,ND,ND,77,23,88,12,75,21,4,ND,100,55,45
