year,riverSystemKey,inshoreRunForecast_millions,inshoreRunActual_millions,inshoreRunPctDeviation,escapementGoalMin_millions,escapementGoalMax_millions,escapementGoalType,escapementActual_millions,inshoreCatchProjected_millions,inshoreCatchActual_millions,inshoreCatchPctDeviation,notes
2015,kvichak,14.807,15.466,4,2.00,10.00,range,7.342,7.119,8.124,14,
2015,alagnak,1.198,11.629,871,0.320,,minimum,5.771,0.576,5.858,917,
2015,naknek,11.728,4.471,-62,0.80,2.00,range,1.921,10.328,2.550,-75,
2015,egegik,12.038,10.911,-9,0.80,2.00,range,2.161,10.638,8.750,-18,
2015,ugashik,3.562,7.039,98,0.50,1.40,range,1.565,2.612,5.474,110,
2015,wood,5.340,5.070,-5,0.70,1.80,range,1.941,4.090,3.129,-23,
2015,igushik,0.980,1.657,69,0.15,0.40,range,0.651,0.705,1.006,43,
2015,nushagak_mulchatna,1.738,2.255,30,0.37,0.90,range,0.797,1.103,1.458,32,
2015,togiak,0.584,0.591,1,0.12,0.27,range,0.219,0.389,0.372,-4,
2015,total_bristol_bay,51.975,59.088,14,5.760,19.090,range,22.368,37.557,36.720,-1,
2016,kvichak,12.690,11.615,-8,2.00,10.00,range,4.463,5.870,7.152,22,
2016,alagnak,5.720,4.857,-15,0.320,,minimum,1.776,2.650,3.081,16,
2016,naknek,4.760,4.925,3,0.80,2.00,range,1.692,3.180,3.233,2,
2016,egegik,7.410,10.576,43,0.80,2.00,range,1.837,5.740,8.739,52,
2016,ugashik,4.950,8.265,67,0.50,1.40,range,1.635,3.820,6.630,74,
2016,wood,7.530,5.487,-27,0.70,1.80,range,1.310,6.000,4.177,-30,
2016,igushik,1.090,1.964,80,0.15,0.40,range,0.469,0.770,1.495,94,
2016,nushagak_mulchatna,1.740,3.119,79,0.37,0.90,range,0.681,1.040,2.438,134,
2016,togiak,0.660,0.846,28,0.12,0.27,range,0.200,0.440,0.646,47,
2016,total_bristol_bay,46.550,51.654,11,5.760,19.090,range,14.063,29.510,37.591,27,
2017,kvichak,7.470,6.524,-13,2.00,10.00,range,3.163,3.470,3.361,-3,
2017,alagnak,3.894,4.119,6,0.320,,minimum,2.042,1.809,2.077,15,
2017,naknek,4.114,4.718,15,0.80,2.00,range,1.900,3.014,2.818,-7,
2017,egegik,10.257,14.581,42,0.80,2.00,range,2.601,8.559,11.980,40,
2017,ugashik,5.260,6.892,31,0.50,1.40,range,1.186,4.086,5.706,40,
2017,wood,5.292,11.009,108,0.70,1.80,range,4.274,3.767,6.735,79,
2017,igushik,1.207,1.318,9,0.15,0.40,range,0.579,0.994,0.739,-26,
2017,nushagak_mulchatna,1.802,7.700,327,0.37,0.90,range,2.852,1.299,4.848,273,
2017,togiak,0.633,0.711,12,0.12,0.27,range,0.195,0.476,0.516,8,
2017,total_bristol_bay,39.929,57.572,44,5.760,19.090,range,18.792,27.474,38.780,41,
2018,kvichak,8.120,7.393,-9,2.00,10.00,range,4.399,4.120,2.994,-27,
2018,alagnak,4.280,2.851,-33,0.320,,minimum,1.581,2.170,1.260,-41,
2018,naknek,3.750,6.876,83,0.80,2.00,range,2.221,2.650,4.655,76,
2018,egegik,8.850,6.758,-24,0.80,2.00,range,1.608,7.450,5.150,-31,
2018,ugashik,2.780,3.940,42,0.50,1.40,range,1.168,2.060,2.772,35,
2018,wood,11.950,22.279,86,0.70,1.80,range,7.507,10.420,14.771,42,
2018,igushik,2.060,2.025,-2,0.15,0.40,range,0.771,1.730,1.255,-26,
2018,nushagak_mulchatna,7.140,9.452,32,0.37,0.90,range,1.247,6.380,8.204,28,
2018,togiak,0.840,1.380,64,0.12,0.27,range,0.512,0.610,0.868,42,
2018,total_bristol_bay,49.790,62.952,26,5.760,19.090,range,21.014,37.600,41.937,12,
2019,kvichak,6.690,7.499,12,2.00,10.00,range,2.371,2.690,5.127,91,
