Table 10.
–Daily district registration of drift gillnet permit holders and dual vessel registration, by
district, Bristol Bay, 2023.
Naknek-Kvichak Egegik Ugashik Nushagak Togiak a Total b
Date total dual total dual total dual total dual total
6/1 0 0 0 0 0 0 0 0 0 0
6/2 3 0 8 1 0 0 1 0 0 12
6/3 3 0 8 1 0 0 1 0 0 12
6/4 4 0 8 1 0 0 1 0 0 13
6/5 4 0 8 1 0 0 1 0 0 13
6/6 4 0 9 1 0 0 1 0 0 14
6/7 5 0 9 1 0 0 1 0 0 15
6/8 8 0 11 1 0 0 2 0 0 21
6/9 9 0 22 2 0 0 2 0 1 34
6/10 9 0 30 3 1 0 3 0 2 45
6/11 9 0 32 4 1 0 3 0 2 47
6/12 10 0 38 6 1 0 5 0 2 56
6/13 12 0 48 7 5 0 7 1 4 76
6/14 13 0 59 8 6 0 7 1 6 91
6/15 17 0 76 11 7 0 8 1 8 116
6/16 22 2 105 20 10 1 9 1 9 155
6/17 25 2 117 23 13 4 11 1 9 175
6/18 25 1 124 22 15 5 15 2 9 188
6/19 32 2 174 36 21 7 17 2 9 253
6/20 58 7 291 79 54 16 19 2 9 431
6/21 80 11 318 89 72 19 24 3 10 504
6/22 108 15 408 112 96 26 31 4 10 653
6/23 114 14 466 116 51 12 63 8 11 705
6/24 129 13 430 102 45 10 171 39 14 789
6/25 141 15 412 97 46 9 296 75 14 909
6/26 147 15 445 106 48 10 690 201 14 1,344
6/27 233 35 444 107 59 13 758 222 17 1,511
6/28 250 37 428 105 60 13 749 215 18 1,505
6/29 303 46 423 103 56 11 741 211 18 1,541
6/30 348 60 421 104 63 12 733 206 18 1,583
7/01 385 70 422 105 62 12 730 206 18 1,617
7/02 418 79 424 105 58 11 716 205 21 1,637
7/03 430 82 419 103 59 12 672 185 21 1,601
7/04 440 86 435 104 61 12 582 149 22 1,540
7/05 492 108 432 105 61 12 552 139 22 1,559
7/06 581 142 427 103 64 13 505 123 22 1,599
7/07 611 151 424 103 67 14 454 113 23 1,579
7/08 615 153 401 98 97 25 415 102 23 1,551
7/09 632 159 389 92 109 27 350 91 23 1,503
7/10 660 162 391 94 151 41 331 84 23 1,556
7/11 674 164 396 95 224 56 327 84 23 1,644
7/12 691 169 387 93 233 60 330 86 24 1,665
7/13 696 169 387 93 232 59 294 71 24 1,633
7/14 704 170 384 90 231 59 337 89 24 1,680
7/15 710 171 387 92 233 60 338 89 24 1,692
7/16 713 171 384 92 231 60 339 89 24 1,691
Average c 370 80 371 90 93 23 374 100
