Table 10.
–Daily district registration of drift gillnet permit holders and dual vessel registration, by
district, Bristol Bay, 2024.
Naknek-Kvichak Egegik Ugashik Nushagak Togiaka
Date total dual total dual total dual total dual total Totalb
6/1 0 0 0 0 0 0 0 0 0 0
6/2 0 0 5 1 0 0 0 0 1 6
6/3 0 0 5 1 0 0 0 0 1 6
6/4 0 0 5 1 0 0 0 0 1 6
6/5 0 0 6 1 0 0 1 0 1 8
6/6 2 0 14 1 0 0 1 0 1 18
6/7 2 0 14 1 0 0 2 0 1 19
6/8 2 0 14 1 0 0 3 0 1 20
6/9 2 0 18 2 0 0 3 0 1 24
6/10 2 0 23 4 0 0 3 0 1 29
6/11 2 0 29 5 0 0 6 0 3 40
6/12 4 0 37 8 1 0 8 1 4 54
6/13 6 0 52 13 1 0 9 1 5 73
6/14 10 0 63 17 2 0 10 1 6 91
6/15 11 0 64 17 1 0 14 2 7 97
6/16 14 0 69 20 8 1 14 2 7 112
6/17 17 1 119 39 34 9 16 2 7 193
6/18 19 1 154 50 70 20 24 4 9 276
6/19 32 3 188 58 87 26 30 6 10 347
6/20 44 7 221 69 94 30 42 8 11 412
6/21 51 8 245 73 107 35 49 8 12 464
6/22 58 9 275 81 88 31 61 11 12 494
6/23 63 9 252 74 94 31 84 19 13 506
6/24 81 10 256 69 115 37 131 27 13 596
6/25 92 12 236 61 123 40 261 56 14 726
6/26 228 48 238 61 152 48 407 103 14 1,039
6/27 249 52 234 60 167 54 689 190 14 1,353
6/28 326 76 239 63 179 58 748 210 14 1,506
6/29 343 80 241 63 187 61 756 214 15 1,542
6/30 355 83 245 65 198 63 759 214 16 1,573
7/01 382 91 251 67 204 64 758 217 16 1,611
7/02 389 92 237 65 208 66 736 210 17 1,587
7/03 398 93 239 66 210 67 703 202 17 1,567
7/04 428 100 239 66 221 71 683 193 18 1,589
7/05 462 110 235 65 225 71 677 192 19 1,618
7/06 486 122 235 65 226 71 627 172 19 1,593
7/07 500 125 220 60 228 72 497 136 19 1,464
7/08 547 142 218 60 231 74 448 118 19 1,463
7/09 690 182 198 54 234 74 415 106 19 1,556
7/10 723 193 193 54 253 81 413 105 21 1,603
7/11 775 212 189 54 247 78 411 104 21 1,643
7/12 775 212 186 54 237 76 355 98 22 1,575
7/13 791 217 186 54 227 73 349 95 22 1,575
7/14 828 224 175 50 265 77 333 91 22 1,623
7/15 839 228 175 50 269 78 335 92 22 1,640
7/16 849 231 174 50 276 79 343 93 22 1,664
Averagec 382 96 212 59 176 55 392 106 16 1,178
